Estados;Densidad;Población
Alaska;0;732.673
Alabama;37;5.039.877
Arkansas;22;3.025.891
Arizona;25;7.276.316
California;93;39.237.836
Colorado;22;5.812.069
Connecticut;251;3.605.597
Delaware;156;1.003.384
Florida;128;21.781.128
Georgia;70;10.799.566
Hawái;51;1.441.553
Iowa;22;3.193.079
Idaho;9;1.900.923
Illinois;84;12.671.469
Indiana;72;6.805.985
Kansas;14;2.934.582
Kentucky;43;4.509.394
Luisiana;34;4.624.047
Massachusetts;256;6.984.723
Maryland;192;6.165.129
Maine;15;1.372.247
Míchigan;40;10.050.811
Minnesota [+];25;5.707.390
Misuri;34;6.168.187
Misisipi;24;2.949.965
Montana;3;1.104.271
Carolina del Norte;76;10.551.162
Dakota del Norte;4;774.948
Nebraska;10;1.963.692
Nuevo Hampshire;57;1.388.992
Nueva Jersey;410;9.267.130
Nuevo México;7;2.115.877
Nevada;11;3.143.991
Nueva York;140;19.835.913
Ohio;101;11.780.017
Oklahoma;22;3.986.639
Oregón;17;4.246.155
Pensilvania;109;12.964.056
Rhode Island;274;1.095.610
Carolina del Sur;63;5.190.705
Dakota del Sur;4;895.376
Tennessee;64;6.975.218
Texas;42;29.527.941
Utah;15;3.337.975
Virginia;78;8.642.274
Vermont;26;645.570
Washington;42;7.738.692
Wisconsin;35;5.895.908
Virginia Occidental;28;1.782.959
